{'time': '13:18', 'ce_supp': 121.68, 'pe_supp': -54.89}
{'time': '13:19', 'ce_supp': 122.66, 'pe_supp': -55.09}
{'time': '13:20', 'ce_supp': 122.66, 'pe_supp': -55.09}
{'time': '13:21', 'ce_supp': 124.5, 'pe_supp': -55.46}
{'time': '13:22', 'ce_supp': 124.5, 'pe_supp': -55.46}
{'time': '13:23', 'ce_supp': 123.33, 'pe_supp': -55.22}
{'time': '13:24', 'ce_supp': 123.33, 'pe_supp': -55.22}
{'time': '13:25', 'ce_supp': 128.38, 'pe_supp': -56.21}
{'time': '13:26', 'ce_supp': 128.38, 'pe_supp': -56.21}
{'time': '13:27', 'ce_supp': 129.62, 'pe_supp': -56.45}
{'time': '13:28', 'ce_supp': 130.09, 'pe_supp': -56.54}
{'time': '13:29', 'ce_supp': 130.7, 'pe_supp': -56.65}
{'time': '13:30', 'ce_supp': 130.09, 'pe_supp': -56.54}
{'time': '13:31', 'ce_supp': 134.39, 'pe_supp': -57.34}
{'time': '13:32', 'ce_supp': 134.39, 'pe_supp': -57.34}
{'time': '13:33', 'ce_supp': 137.06, 'pe_supp': -57.82}
{'time': '13:34', 'ce_supp': 137.06, 'pe_supp': -57.82}
{'time': '13:35', 'ce_supp': 137.62, 'pe_supp': -57.92}
{'time': '13:36', 'ce_supp': 137.87, 'pe_supp': -57.96}
{'time': '13:37', 'ce_supp': 137.87, 'pe_supp': -57.96}
{'time': '13:38', 'ce_supp': 137.87, 'pe_supp': -57.96}
{'time': '13:39', 'ce_supp': 144.73, 'pe_supp': -59.14}
{'time': '13:40', 'ce_supp': 144.73, 'pe_supp': -59.14}
{'time': '13:41', 'ce_supp': 129.31, 'pe_supp': -56.39}
{'time': '13:42', 'ce_supp': 120.62, 'pe_supp': -54.67}
{'time': '13:43', 'ce_supp': 120.62, 'pe_supp': -54.67}
{'time': '13:44', 'ce_supp': 120.62, 'pe_supp': -54.67}
{'time': '13:45', 'ce_supp': 119.42, 'pe_supp': -54.42}
{'time': '13:46', 'ce_supp': 120.9, 'pe_supp': -54.73}
{'time': '13:47', 'ce_supp': 120.9, 'pe_supp': -54.73}
{'time': '13:48', 'ce_supp': 119.62, 'pe_supp': -54.47}
{'time': '13:49', 'ce_supp': 119.62, 'pe_supp': -54.47}
{'time': '13:50', 'ce_supp': 117.7, 'pe_supp': -54.06}
{'time': '13:51', 'ce_supp': 117.7, 'pe_supp': -54.06}
{'time': '13:52', 'ce_supp': 117.7, 'pe_supp': -54.06}
{'time': '13:53', 'ce_supp': 107.78, 'pe_supp': -51.87}
{'time': '13:55', 'ce_supp': 105.22, 'pe_supp': -51.27}
{'time': '13:56', 'ce_supp': 88.38, 'pe_supp': -46.91}
{'time': '13:57', 'ce_supp': 81.39, 'pe_supp': -44.87}
{'time': '13:58', 'ce_supp': 81.39, 'pe_supp': -44.87}
{'time': '13:59', 'ce_supp': 81.39, 'pe_supp': -44.87}
{'time': '14:00', 'ce_supp': 81.57, 'pe_supp': -44.93}
{'time': '14:01', 'ce_supp': 81.57, 'pe_supp': -44.93}
{'time': '14:02', 'ce_supp': 84.27, 'pe_supp': -45.73}
{'time': '14:03', 'ce_supp': 84.27, 'pe_supp': -45.73}
{'time': '14:04', 'ce_supp': 81.77, 'pe_supp': -44.99}
{'time': '14:05', 'ce_supp': 81.77, 'pe_supp': -44.99}
{'time': '14:06', 'ce_supp': 81.77, 'pe_supp': -44.99}
{'time': '14:07', 'ce_supp': 83.47, 'pe_supp': -45.49}
{'time': '14:08', 'ce_supp': 83.47, 'pe_supp': -45.49}
{'time': '14:09', 'ce_supp': 84.8, 'pe_supp': -45.89}
