{'time': '13:18', 'ce_supp': -14.99, 'pe_supp': 17.64}
{'time': '13:19', 'ce_supp': -14.72, 'pe_supp': 17.26}
{'time': '13:20', 'ce_supp': -14.72, 'pe_supp': 17.26}
{'time': '13:21', 'ce_supp': -14.31, 'pe_supp': 16.69}
{'time': '13:22', 'ce_supp': -14.31, 'pe_supp': 16.69}
{'time': '13:23', 'ce_supp': -13.01, 'pe_supp': 14.96}
{'time': '13:24', 'ce_supp': -13.01, 'pe_supp': 14.96}
{'time': '13:25', 'ce_supp': -12.34, 'pe_supp': 14.07}
{'time': '13:26', 'ce_supp': -12.34, 'pe_supp': 14.07}
{'time': '13:27', 'ce_supp': -10.77, 'pe_supp': 12.07}
{'time': '13:28', 'ce_supp': -10.77, 'pe_supp': 12.07}
{'time': '13:29', 'ce_supp': -10.51, 'pe_supp': 11.75}
{'time': '13:30', 'ce_supp': -10.77, 'pe_supp': 12.07}
{'time': '13:31', 'ce_supp': -8.04, 'pe_supp': 8.74}
{'time': '13:32', 'ce_supp': -8.04, 'pe_supp': 8.74}
{'time': '13:33', 'ce_supp': -7.19, 'pe_supp': 7.75}
{'time': '13:34', 'ce_supp': -7.19, 'pe_supp': 7.75}
{'time': '13:35', 'ce_supp': -6.0, 'pe_supp': 6.38}
{'time': '13:36', 'ce_supp': -6.06, 'pe_supp': 6.45}
{'time': '13:37', 'ce_supp': -6.06, 'pe_supp': 6.45}
{'time': '13:38', 'ce_supp': -6.06, 'pe_supp': 6.45}
{'time': '13:39', 'ce_supp': -3.29, 'pe_supp': 3.41}
{'time': '13:40', 'ce_supp': -3.29, 'pe_supp': 3.41}
{'time': '13:41', 'ce_supp': -14.59, 'pe_supp': 17.09}
{'time': '13:42', 'ce_supp': -19.02, 'pe_supp': 23.49}
{'time': '13:43', 'ce_supp': -19.02, 'pe_supp': 23.49}
{'time': '13:44', 'ce_supp': -19.02, 'pe_supp': 23.49}
{'time': '13:45', 'ce_supp': -19.56, 'pe_supp': 24.31}
{'time': '13:46', 'ce_supp': -18.85, 'pe_supp': 23.22}
{'time': '13:47', 'ce_supp': -18.85, 'pe_supp': 23.22}
{'time': '13:48', 'ce_supp': -19.72, 'pe_supp': 24.57}
{'time': '13:49', 'ce_supp': -19.72, 'pe_supp': 24.57}
{'time': '13:50', 'ce_supp': -19.53, 'pe_supp': 24.27}
{'time': '13:51', 'ce_supp': -19.53, 'pe_supp': 24.27}
{'time': '13:52', 'ce_supp': -19.53, 'pe_supp': 24.27}
{'time': '13:53', 'ce_supp': -24.05, 'pe_supp': 31.67}
{'time': '13:55', 'ce_supp': -26.45, 'pe_supp': 35.96}
{'time': '13:56', 'ce_supp': -33.16, 'pe_supp': 49.62}
{'time': '13:57', 'ce_supp': -35.9, 'pe_supp': 56.0}
{'time': '13:58', 'ce_supp': -35.9, 'pe_supp': 56.0}
{'time': '13:59', 'ce_supp': -35.9, 'pe_supp': 56.0}
{'time': '14:00', 'ce_supp': -36.11, 'pe_supp': 56.51}
{'time': '14:01', 'ce_supp': -36.11, 'pe_supp': 56.51}
{'time': '14:02', 'ce_supp': -34.78, 'pe_supp': 53.33}
{'time': '14:03', 'ce_supp': -34.78, 'pe_supp': 53.33}
{'time': '14:04', 'ce_supp': -35.38, 'pe_supp': 54.75}
{'time': '14:05', 'ce_supp': -35.38, 'pe_supp': 54.75}
{'time': '14:06', 'ce_supp': -35.22, 'pe_supp': 54.36}
{'time': '14:07', 'ce_supp': -34.46, 'pe_supp': 52.58}
{'time': '14:08', 'ce_supp': -34.46, 'pe_supp': 52.58}
{'time': '14:09', 'ce_supp': -34.69, 'pe_supp': 53.13}
{'time': '14:10', 'ce_supp': -34.47, 'pe_supp': 52.61}
{'time': '14:11', 'ce_supp': -34.47, 'pe_supp': 52.61}
{'time': '14:13', 'ce_supp': -36.36, 'pe_supp': 57.12}
{'time': '14:14', 'ce_supp': -37.12, 'pe_supp': 59.03}
{'time': '14:15', 'ce_supp': -37.12, 'pe_supp': 59.03}
{'time': '14:16', 'ce_supp': -37.61, 'pe_supp': 60.28}
{'time': '14:17', 'ce_supp': -38.07, 'pe_supp': 61.48}
{'time': '14:18', 'ce_supp': -39.48, 'pe_supp': 65.23}
{'time': '14:19', 'ce_supp': -39.48, 'pe_supp': 65.23}
{'time': '14:20', 'ce_supp': -39.48, 'pe_supp': 65.23}
{'time': '14:21', 'ce_supp': -39.33, 'pe_supp': 64.83}
{'time': '14:22', 'ce_supp': -39.71, 'pe_supp': 65.88}
{'time': '14:23', 'ce_supp': -40.32, 'pe_supp': 67.56}
{'time': '14:25', 'ce_supp': -45.72, 'pe_supp': 84.24}
{'time': '14:26', 'ce_supp': -45.72, 'pe_supp': 84.24}
{'time': '14:27', 'ce_supp': -45.72, 'pe_supp': 84.24}
{'time': '14:28', 'ce_supp': -45.72, 'pe_supp': 84.24}
{'time': '14:29', 'ce_supp': -47.07, 'pe_supp': 88.91}
{'time': '14:30', 'ce_supp': -47.07, 'pe_supp': 88.91}
{'time': '14:31', 'ce_supp': -47.44, 'pe_supp': 90.27}
{'time': '14:32', 'ce_supp': -47.44, 'pe_supp': 90.27}
{'time': '14:33', 'ce_supp': -47.44, 'pe_supp': 90.27}
{'time': '14:34', 'ce_supp': -48.55, 'pe_supp': 94.38}
{'time': '14:36', 'ce_supp': -48.55, 'pe_supp': 94.38}
{'time': '14:37', 'ce_supp': -48.56, 'pe_supp': 94.38}
{'time': '14:38', 'ce_supp': -48.56, 'pe_supp': 94.38}
{'time': '14:39', 'ce_supp': -48.56, 'pe_supp': 94.38}
{'time': '14:40', 'ce_supp': -48.56, 'pe_supp': 94.38}
{'time': '14:41', 'ce_supp': -48.8, 'pe_supp': 95.31}
{'time': '14:42', 'ce_supp': -48.25, 'pe_supp': 93.23}
{'time': '14:43', 'ce_supp': -48.28, 'pe_supp': 93.35}
{'time': '14:44', 'ce_supp': -48.28, 'pe_supp': 93.35}
{'time': '14:45', 'ce_supp': -48.28, 'pe_supp': 93.35}
{'time': '14:46', 'ce_supp': -48.65, 'pe_supp': 94.73}
{'time': '14:48', 'ce_supp': -48.68, 'pe_supp': 94.86}
{'time': '14:49', 'ce_supp': -47.34, 'pe_supp': 89.88}
{'time': '14:50', 'ce_supp': -47.34, 'pe_supp': 89.88}
{'time': '14:51', 'ce_supp': -47.99, 'pe_supp': 92.26}
{'time': '14:52', 'ce_supp': -47.34, 'pe_supp': 89.88}
{'time': '14:53', 'ce_supp': -47.99, 'pe_supp': 92.26}
{'time': '14:54', 'ce_supp': -47.99, 'pe_supp': 92.26}
{'time': '14:55', 'ce_supp': -46.71, 'pe_supp': 87.66}
{'time': '14:56', 'ce_supp': -46.71, 'pe_supp': 87.66}
{'time': '14:58', 'ce_supp': -46.71, 'pe_supp': 87.66}
{'time': '14:59', 'ce_supp': -46.58, 'pe_supp': 87.2}
{'time': '15:00', 'ce_supp': -46.77, 'pe_supp': 87.87}
{'time': '15:01', 'ce_supp': -47.53, 'pe_supp': 90.57}
{'time': '15:02', 'ce_supp': -47.53, 'pe_supp': 90.57}
{'time': '15:03', 'ce_supp': -47.53, 'pe_supp': 90.57}
{'time': '15:04', 'ce_supp': -47.53, 'pe_supp': 90.57}
{'time': '15:05', 'ce_supp': -47.03, 'pe_supp': 88.8}
{'time': '15:06', 'ce_supp': -48.08, 'pe_supp': 92.59}
{'time': '15:07', 'ce_supp': -48.08, 'pe_supp': 92.59}
{'time': '15:08', 'ce_supp': -48.08, 'pe_supp': 92.59}
{'time': '15:10', 'ce_supp': -48.08, 'pe_supp': 92.59}
{'time': '15:11', 'ce_supp': -48.44, 'pe_supp': 93.94}
{'time': '15:12', 'ce_supp': -48.44, 'pe_supp': 93.94}
{'time': '15:13', 'ce_supp': -49.27, 'pe_supp': 97.13}
{'time': '15:14', 'ce_supp': -49.27, 'pe_supp': 97.13}
{'time': '15:15', 'ce_supp': -49.27, 'pe_supp': 97.13}
