Metropolitan area,population,NFL,NBA,NHL,MLB,team,W,L,winlossratio
Phoenix,4661537,Arizona Cardinals,Phoenix Suns,Arizona Coyotes,Arizona Diamondbacks,Arizona Cardinals,3,13,0.1875
Atlanta,5789700,Atlanta Falcons,Atlanta Hawks,Atlanta,Atlanta Braves,Atlanta Falcons,7,9,0.4375
Baltimore,2798886,Baltimore Ravens,Baltimore,Baltimore,Baltimore Orioles,Baltimore Ravens,10,6,0.625
Buffalo,1132804,Buffalo Bills,Buffalo,Buffalo Sabres,Buffalo,Buffalo Bills,6,10,0.375
Charlotte,2474314,Carolina Panthers,Charlotte Hornets,Charlotte,Charlotte,Carolina Panthers,7,9,0.4375
Chicago,9512999,Chicago Bears,Chicago Bulls,Chicago Blackhawks,Chicago Cubs,Chicago Bears,12,4,0.75
Chicago,9512999,Chicago Bears,Chicago Bulls,Chicago Blackhawks,Chicago White Sox,Chicago Bears,12,4,0.75
Cincinnati,2165139,Cincinnati Bengals,Cincinnati,Cincinnati,Cincinnati Reds,Cincinnati Bengals,6,10,0.375
Cleveland,2055612,Cleveland Browns,Cleveland Cavaliers,Cleveland,Cleveland Indians,Cleveland Browns,7,8,0.4666666666666667
Dallas–Fort Worth,7233323,Dallas Cowboys,Dallas Mavericks,Dallas Stars,Texas Rangers,Dallas Cowboys,10,6,0.625
Denver,2853077,Denver Broncos,Denver Nuggets,Colorado Avalanche,Colorado Rockies,Denver Broncos,6,10,0.375
Detroit,4297617,Detroit Lions,Detroit Pistons,Detroit Red Wings,Detroit Tigers,Detroit Lions,6,10,0.375
Green Bay,318236,Green Bay Packers,Green Bay,Green Bay,Green Bay,Green Bay Packers,6,9,0.4
Houston,6772470,Houston Texans,Houston Rockets,Houston,Houston Astros,Houston Texans,11,5,0.6875
Indianapolis,2004230,Indianapolis Colts,Indiana Pacers,Indianapolis,Indianapolis,Indianapolis Colts,10,6,0.625
Jacksonville,1478212,Jacksonville Jaguars,Jacksonville,Jacksonville,Jacksonville,Jacksonville Jaguars,5,11,0.3125
Kansas City,2104509,Kansas City Chiefs,Kansas City,Kansas City,Kansas City Royals,Kansas City Chiefs,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Lakers,Los Angeles Kings,Los Angeles Dodgers,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Lakers,Los Angeles Kings,Los Angeles Angels,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Clippers,Los Angeles Kings,Los Angeles Dodgers,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Lakers,Anaheim Ducks,Los Angeles Dodgers,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Clippers,Los Angeles Kings,Los Angeles Angels,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Lakers,Anaheim Ducks,Los Angeles Angels,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Clippers,Anaheim Ducks,Los Angeles Dodgers,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Chargers,Los Angeles Clippers,Anaheim Ducks,Los Angeles Angels,Los Angeles Chargers,12,4,0.75
Los Angeles,13310447,Los Angeles Rams,Los Angeles Lakers,Anaheim Ducks,Los Angeles Angels,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Lakers,Los Angeles Kings,Los Angeles Dodgers,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Clippers,Los Angeles Kings,Los Angeles Dodgers,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Lakers,Los Angeles Kings,Los Angeles Angels,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Clippers,Anaheim Ducks,Los Angeles Dodgers,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Clippers,Anaheim Ducks,Los Angeles Angels,Los Angeles Rams,13,3,0.8125
Los Angeles,13310447,Los Angeles Rams,Los Angeles Lakers,Anaheim Ducks,Los Angeles Dodgers,Los Angeles Rams,13,3,0.8125
