Metropolitan area,population,winlossratio,NFL
Atlanta,5789700,0.4375,1
Baltimore,2798886,0.625,1
Boston,4794447,0.6875,1
Buffalo,1132804,0.375,1
Charlotte,2474314,0.4375,1
Chicago,9512999,0.75,1
Cincinnati,2165139,0.375,1
Cleveland,2055612,0.4666666666666667,1
Dallas–Fort Worth,7233323,0.625,1
Denver,2853077,0.375,1
Detroit,4297617,0.375,1
Green Bay,318236,0.4,1
Houston,6772470,0.6875,1
Indianapolis,2004230,0.625,1
Jacksonville,1478212,0.3125,1
Kansas City,2104509,0.75,1
Los Angeles,13310447,0.78125,2
Miami–Fort Lauderdale,6066387,0.4375,1
Minneapolis–Saint Paul,3551036,0.5333333333333333,1
Nashville,1865298,0.5625,1
New Orleans,1268883,0.8125,1
New York City,20153634,0.28125,2
Philadelphia,6070500,0.5625,1
Phoenix,4661537,0.1875,1
Pittsburgh,2342299,0.6,1
San Francisco Bay Area,6657982,0.25,2
Seattle,3798902,0.625,1
Tampa Bay Area,3032171,0.3125,1
"Washington, D.C.",6131977,0.4375,1
