Metropolitan area,population,winlossratio,NBA
Atlanta,5789700,0.2926829268292683,1
Boston,4794447,0.6707317073170732,1
Charlotte,2474314,0.43902439024390244,1
Chicago,9512999,0.32926829268292684,1
Cleveland,2055612,0.6097560975609756,1
Dallas–Fort Worth,7233323,0.2926829268292683,1
Denver,2853077,0.5609756097560976,1
Detroit,4297617,0.47560975609756095,1
Houston,6772470,0.7926829268292683,1
Indianapolis,2004230,0.5853658536585366,1
Los Angeles,13310447,0.4695121951219512,2
Memphis,1342842,0.2682926829268293,1
Miami–Fort Lauderdale,6066387,0.5365853658536586,1
Milwaukee,1572482,0.5365853658536586,1
Minneapolis–Saint Paul,3551036,0.573170731707317,1
New Orleans,1268883,0.5853658536585366,1
New York City,20153634,0.34756097560975613,2
Oklahoma City,1373211,0.5853658536585366,1
Orlando,2441257,0.3048780487804878,1
Philadelphia,6070500,0.6341463414634146,1
Phoenix,4661537,0.25609756097560976,1
Portland,2424955,0.5975609756097561,1
Sacramento,2296418,0.32926829268292684,1
Salt Lake City,1186187,0.5853658536585366,1
San Antonio,2429609,0.573170731707317,1
San Francisco Bay Area,6657982,0.7073170731707317,1
Toronto,5928040,0.7195121951219512,1
"Washington, D.C.",6131977,0.524390243902439,1
