Metropolitan area,population,winlossratio,NHL
Boston,4794447,0.7142857142857143,1
Buffalo,1132804,0.35714285714285715,1
Calgary,1392609,0.5138888888888888,1
Chicago,9512999,0.4583333333333333,1
Columbus,2041520,0.6,1
Dallas–Fort Worth,7233323,0.5675675675675675,1
Denver,2853077,0.589041095890411,1
Detroit,4297617,0.43478260869565216,1
Edmonton,1321426,0.47368421052631576,1
Las Vegas,2155664,0.68,1
Los Angeles,13310447,0.622894633764199,2
Miami–Fort Lauderdale,6066387,0.5945945945945946,1
Minneapolis–Saint Paul,3551036,0.6338028169014085,1
Montreal,4098927,0.42028985507246375,1
Nashville,1865298,0.7464788732394366,1
New York City,20153634,0.5182014205986808,3
Ottawa,1323783,0.39436619718309857,1
Philadelphia,6070500,0.6176470588235294,1
Phoenix,4661537,0.4142857142857143,1
Pittsburgh,2342299,0.618421052631579,1
Raleigh,1302946,0.5070422535211268,1
San Francisco Bay Area,6657982,0.625,1
Tampa Bay Area,3032171,0.7012987012987013,1
Toronto,5928040,0.6533333333333333,1
Vancouver,2463431,0.43661971830985913,1
"Washington, D.C.",6131977,0.6533333333333333,1
Winnipeg,778489,0.7222222222222222,1
