company_name,company_price_intraday,company_symbol,company_symbol_link
Microsoft Corporation,137.20,MSFT,https://finance.yahoo.com/sector/ms_technology/quote/MSFT?p=MSFT
Apple Inc.,207.76,AAPL,https://finance.yahoo.com/sector/ms_technology/quote/AAPL?p=AAPL
Alphabet Inc.,"1,187.30",GOOG,https://finance.yahoo.com/sector/ms_technology/quote/GOOG?p=GOOG
Alphabet Inc.,"1,188.34",GOOGL,https://finance.yahoo.com/sector/ms_technology/quote/GOOGL?p=GOOGL
"Facebook, Inc.",184.12,FB,https://finance.yahoo.com/sector/ms_technology/quote/FB?p=FB
Intel Corporation,47.46,INTC,https://finance.yahoo.com/sector/ms_technology/quote/INTC?p=INTC
Taiwan Semiconductor Manufacturing Company Limited,42.59,TSM,https://finance.yahoo.com/sector/ms_technology/quote/TSM?p=TSM
"Cisco Systems, Inc.",46.67,CSCO,https://finance.yahoo.com/sector/ms_technology/quote/CSCO?p=CSCO
Oracle Corporation,52.05,ORCL,https://finance.yahoo.com/sector/ms_technology/quote/ORCL?p=ORCL
SAP SE,118.94,SAP,https://finance.yahoo.com/sector/ms_technology/quote/SAP?p=SAP
Adobe Inc.,283.22,ADBE,https://finance.yahoo.com/sector/ms_technology/quote/ADBE?p=ADBE
"salesforce.com, inc.",154.61,CRM,https://finance.yahoo.com/sector/ms_technology/quote/CRM?p=CRM
Accenture plc,198.27,ACN,https://finance.yahoo.com/sector/ms_technology/quote/ACN?p=ACN
International Business Machines Corporation,134.81,IBM,https://finance.yahoo.com/sector/ms_technology/quote/IBM?p=IBM
Texas Instruments Incorporated,124.08,TXN,https://finance.yahoo.com/sector/ms_technology/quote/TXN?p=TXN
Broadcom Inc.,282.44,AVGO,https://finance.yahoo.com/sector/ms_technology/quote/AVGO?p=AVGO
NVIDIA Corporation,167.97,NVDA,https://finance.yahoo.com/sector/ms_technology/quote/NVDA?p=NVDA
QUALCOMM Incorporated,77.45,QCOM,https://finance.yahoo.com/sector/ms_technology/quote/QCOM?p=QCOM
ASML Holding N.V.,222.87,ASML,https://finance.yahoo.com/sector/ms_technology/quote/ASML?p=ASML
Intuit Inc.,286.76,INTU,https://finance.yahoo.com/sector/ms_technology/quote/INTU?p=INTU
Sony Corporation,56.67,SNE,https://finance.yahoo.com/sector/ms_technology/quote/SNE?p=SNE
"VMware, Inc.",140.27,VMW,https://finance.yahoo.com/sector/ms_technology/quote/VMW?p=VMW
"Uber Technologies, Inc.",32.16,UBER,https://finance.yahoo.com/sector/ms_technology/quote/UBER?p=UBER
"Micron Technology, Inc.",45.38,MU,https://finance.yahoo.com/sector/ms_technology/quote/MU?p=MU
"ServiceNow, Inc.",257.08,NOW,https://finance.yahoo.com/sector/ms_technology/quote/NOW?p=NOW
"L3Harris Technologies, Inc.",211.71,LHX,https://finance.yahoo.com/sector/ms_technology/quote/LHX?p=LHX
Infosys Limited,11.40,INFY,https://finance.yahoo.com/sector/ms_technology/quote/INFY?p=INFY
"Applied Materials, Inc.",47.81,AMAT,https://finance.yahoo.com/sector/ms_technology/quote/AMAT?p=AMAT
Shopify Inc.,378.52,SHOP,https://finance.yahoo.com/sector/ms_technology/quote/SHOP?p=SHOP
"Analog Devices, Inc.",110.02,ADI,https://finance.yahoo.com/sector/ms_technology/quote/ADI?p=ADI
