company_name,company_price_intraday
Microsoft Corporation,>100
Apple Inc.,>100
Alphabet Inc.,"1,186.86"
Alphabet Inc.,"1,188.01"
"Facebook, Inc.",>100
Intel Corporation,<50
Taiwan Semiconductor Manufacturing Company Limited,<50
"Cisco Systems, Inc.",<50
Oracle Corporation,52.07
SAP SE,>100
Adobe Inc.,>100
"salesforce.com, inc.",>100
Accenture plc,>100
International Business Machines Corporation,>100
Texas Instruments Incorporated,>100
Broadcom Inc.,>100
NVIDIA Corporation,>100
QUALCOMM Incorporated,77.52
ASML Holding N.V.,>100
Intuit Inc.,>100
Sony Corporation,56.65
"VMware, Inc.",>100
"Uber Technologies, Inc.",<50
"Micron Technology, Inc.",<50
"ServiceNow, Inc.",>100
"L3Harris Technologies, Inc.",>100
Infosys Limited,<50
"Applied Materials, Inc.",<50
Shopify Inc.,>100
"Analog Devices, Inc.",>100
"Workday, Inc.",>100
"Activision Blizzard, Inc.",50.55
"Baidu, Inc.",>100
Dell Technologies Inc.,50.11
Cognizant Technology Solutions Corporation,61.47
"Advanced Micro Devices, Inc.",<50
"Twitter, Inc.",<50
"NetEase, Inc.",>100
Atlassian Corporation Plc,>100
"Autodesk, Inc.",>100
TE Connectivity Ltd.,91.92
Lam Research Corporation,>100
"Motorola Solutions, Inc.",>100
NXP Semiconductors N.V.,>100
Electronic Arts Inc.,93.88
HP Inc.,<50
"Square, Inc.",61.60
"Xilinx, Inc.",>100
Amphenol Corporation,87.74
Telefonaktiebolaget LM Ericsson (publ),<50
PagSeguro Digital Ltd.,<50
Fortive Corporation,>100
"VeriSign, Inc.",>100
Spotify Technology S.A.,>100
Fortive Corporation,71.34
Veeva Systems Inc.,>100
"Total System Services, Inc.",>100
"Match Group, Inc.",84.56
KLA Corporation,>100
Cerner Corporation,68.82
Corning Incorporated,<50
Tencent Music Entertainment Group,<50
Snap Inc.,<50
IAC/InterActiveCorp,>100
"Synopsys, Inc.",>100
CGI Inc.,78.12
Microchip Technology Incorporated,87.15
"Palo Alto Networks, Inc.",>100
"Cadence Design Systems, Inc.",68.55
Hewlett Packard Enterprise Company,<50
"Pinterest, Inc.",<50
"Keysight Technologies, Inc.",96.74
Twilio Inc.,>100
"Arista Networks, Inc.",>100
"ANSYS, Inc.",>100
Check Point Software Technologies Ltd.,>100
Splunk Inc.,>100
Western Digital Corporation,56.92
CDW Corporation,>100
"CrowdStrike Holdings, Inc.",80.53
Symantec Corporation,<50
Marvell Technology Group Ltd.,<50
STMicroelectronics N.V.,<50
Garmin Ltd.,81.16
"Take-Two Interactive Software, Inc.",>100
"Maxim Integrated Products, Inc.",54.52
"Paycom Software, Inc.",>100
"Akamai Technologies, Inc.",88.83
"Slack Technologies, Inc.",<50
Sea Limited,<50
"Okta, Inc.",>100
"Fortinet, Inc.",79.25
Seagate Technology plc,50.24
"Lyft, Inc.",<50
"iQIYI, Inc.",<50
"Skyworks Solutions, Inc.",75.17
"Leidos Holdings, Inc.",87.81
"Citrix Systems, Inc.",93.04
"Gartner, Inc.",>100
Yandex N.V.,<50
