127.0.0.1, 2022-01-11 18:26:17, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.436207
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.015622
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.015622
127.0.0.1, 2022-01-11 18:26:17, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-01-11 18:26:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/default/index, HTTP/1.1, 200, 0.100328
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.007508
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.005025
127.0.0.1, 2022-01-11 18:28:10, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:28:13, POST, /admin/default/index, HTTP/1.1, 303, 0.007978
127.0.0.1, 2022-01-11 18:28:13, GET, /admin/default/site, HTTP/1.1, 200, 0.029292
127.0.0.1, 2022-01-11 18:28:13, GET, /admin/static/_2.21.1/images/folder_locked.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:28:13, GET, /admin/static/_2.21.1/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:13, GET, /admin/static/_2.21.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000995
127.0.0.1, 2022-01-11 18:28:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:28:14, POST, /admin/default/check_version, HTTP/1.1, 200, 0.803893
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.015991
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000998
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000997
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000998
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-01-11 18:28:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-01-11 18:28:30, GET, /admin/default/site, HTTP/1.1, 200, 0.014992
127.0.0.1, 2022-01-11 18:28:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:28:41, POST, /admin/default/site, HTTP/1.1, 303, 0.084844
127.0.0.1, 2022-01-11 18:28:41, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.089759
127.0.0.1, 2022-01-11 18:28:41, GET, /admin/static/_2.21.1/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:41, GET, /admin/static/_2.21.1/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:41, GET, /admin/static/_2.21.1/images/delete_icon.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:28:41, GET, /admin/static/_2.21.1/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:28:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:38:38, GET, /admin/default/site, HTTP/1.1, 200, 0.016986
127.0.0.1, 2022-01-11 18:38:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001028
127.0.0.1, 2022-01-11 18:38:42, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.057841
127.0.0.1, 2022-01-11 18:38:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:45:44, POST, /admin/default/create_file, HTTP/1.1, 303, 0.020975
127.0.0.1, 2022-01-11 18:45:44, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.042917
127.0.0.1, 2022-01-11 18:45:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.036938
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-01-11 18:45:53, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000997
